rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,88787789-76a4-44ab-8e89-743b83d2b563,0.6567
8aff426d-b8c0-43aa-ad26-835ef4de6129,ace0246d-f8e9-4261-ab5c-40bbee73184d,0.6567
8aff426d-b8c0-43aa-ad26-835ef4de6129,295e4030-78b4-46a6-936f-5cc18c97d642,0.6567
37e624be-b125-464f-85b6-1838530193ef,a3f38767-02ae-4990-be18-35ca819684a7,0.4
37e624be-b125-464f-85b6-1838530193ef,56c75e72-50ae-4e29-aea4-f6394e1d986b,0.4
37e624be-b125-464f-85b6-1838530193ef,4da333cf-6f2a-4b64-9212-2be665c5e1e3,0.26
b8257184-6307-46ab-b06e-d979336d1263,63078462-b3a8-463c-8c44-301ec9d0d024,0.6694
b8257184-6307-46ab-b06e-d979336d1263,9aabfd4b-06e9-4c02-9c6a-befd8c6f03e0,0.6694
b8257184-6307-46ab-b06e-d979336d1263,a81228e6-1d54-44f6-a601-2a596c2793bc,0.6694
63140d1f-dda8-40fe-8931-bcaba65d5772,4d1d8f30-346e-47a5-aed6-06a86e35f6d8,0.66
63140d1f-dda8-40fe-8931-bcaba65d5772,bed7c304-ce6c-4485-8629-574a2dbe32b3,0.66
63140d1f-dda8-40fe-8931-bcaba65d5772,cea2ffdc-7e8e-4697-acc0-f477287b6fb0,0.66
11cffc57-44be-4d79-bfd5-97482be566d3,4d1d8f30-346e-47a5-aed6-06a86e35f6d8,0.66
11cffc57-44be-4d79-bfd5-97482be566d3,bed7c304-ce6c-4485-8629-574a2dbe32b3,0.66
11cffc57-44be-4d79-bfd5-97482be566d3,cea2ffdc-7e8e-4697-acc0-f477287b6fb0,0.66
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,4d1d8f30-346e-47a5-aed6-06a86e35f6d8,0.66
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,bed7c304-ce6c-4485-8629-574a2dbe32b3,0.66
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,cea2ffdc-7e8e-4697-acc0-f477287b6fb0,0.66
973d80a1-f1b8-461b-bb25-7d8852968b1c,8fe87807-dae8-4341-94fd-2ab91f176464,0.4
973d80a1-f1b8-461b-bb25-7d8852968b1c,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.4
973d80a1-f1b8-461b-bb25-7d8852968b1c,8ded8ec2-f221-4c6d-aadb-fa8294388127,0.4
8fe87807-dae8-4341-94fd-2ab91f176464,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.4
8fe87807-dae8-4341-94fd-2ab91f176464,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.4
8fe87807-dae8-4341-94fd-2ab91f176464,1982a20f-640e-4caa-b9e7-3ca15d7e1acb,0.4
c18a7f01-1cb6-4987-a2cc-93251d3719b9,ada2d439-02d7-4b2d-b1fb-3aeae9a73334,0.66
c18a7f01-1cb6-4987-a2cc-93251d3719b9,63140d1f-dda8-40fe-8931-bcaba65d5772,0.6
c18a7f01-1cb6-4987-a2cc-93251d3719b9,11cffc57-44be-4d79-bfd5-97482be566d3,0.6
0777b4fd-292a-439b-848f-d772ee28c3b8,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4
0777b4fd-292a-439b-848f-d772ee28c3b8,ada2d439-02d7-4b2d-b1fb-3aeae9a73334,0.36
0777b4fd-292a-439b-848f-d772ee28c3b8,078f6ae4-4cf2-4c74-b810-157537c3a8b9,0.3
a0e91fd1-b00b-4ff7-8633-62657662b03b,8eae8f75-558d-4a20-97cd-b4a58b2e152d,0.7
a0e91fd1-b00b-4ff7-8633-62657662b03b,b0657768-220b-46cf-a148-961ccb8df491,0.7
a0e91fd1-b00b-4ff7-8633-62657662b03b,000ca0f6-de2c-4fe3-8ad7-a7ed251c16f5,0.7
84be5122-71d5-4a35-a912-fd2911e3c64f,5190b002-36f4-497b-b1aa-856762facb07,0.76
84be5122-71d5-4a35-a912-fd2911e3c64f,0f595b0b-2253-4585-a672-fda592da7191,0.7
84be5122-71d5-4a35-a912-fd2911e3c64f,b954d3d2-f2d8-4b11-955e-31c7839517f5,0.7
0f595b0b-2253-4585-a672-fda592da7191,84be5122-71d5-4a35-a912-fd2911e3c64f,0.7
0f595b0b-2253-4585-a672-fda592da7191,4d565122-229a-4541-8a53-3b18169c3635,0.7
0f595b0b-2253-4585-a672-fda592da7191,b954d3d2-f2d8-4b11-955e-31c7839517f5,0.7
920dcf5c-136f-4ffc-9449-03f00c1b5a46,19019fb2-05f6-4267-aaf8-6fb9aff3fa83,0.6
920dcf5c-136f-4ffc-9449-03f00c1b5a46,7d1b4cd7-be04-4ca5-9c72-ea86343d3ad7,0.4245
920dcf5c-136f-4ffc-9449-03f00c1b5a46,02c609c9-52b4-49d5-b6e8-cc14787f1822,0.3845
facd942d-02a2-46bf-936c-e3afd39ee20d,5190b002-36f4-497b-b1aa-856762facb07,0.4641
facd942d-02a2-46bf-936c-e3afd39ee20d,de6b456d-3097-4e8a-a61f-0d9fb1625f4f,0.429
facd942d-02a2-46bf-936c-e3afd39ee20d,5ecb3667-1050-484a-a08d-1bf9a028ec90,0.412
140d30f7-f16d-4455-a448-516ab6616812,f7bbbdaf-da16-4964-92b6-e7fdd11dc74a,0.7
140d30f7-f16d-4455-a448-516ab6616812,ec54c295-a5d5-4344-8707-3e32ace0e99a,0.7
140d30f7-f16d-4455-a448-516ab6616812,9d22f999-a354-44d2-95f1-bc94c38ee626,0.66
178a48ef-f870-46d7-ba3c-c94b35477459,5190b002-36f4-497b-b1aa-856762facb07,0.4641
178a48ef-f870-46d7-ba3c-c94b35477459,de6b456d-3097-4e8a-a61f-0d9fb1625f4f,0.429
